Product,Issue,State,ZIP code,Submitted via,Date received,Company,Company response,Timely response?,Consumer disputed?
Credit card,Advertising and marketing,IN,47711,Web,10/17/13,Capital One,Closed with explanation,Yes,No
Credit card,Late fee,IN,46226,Web,10/12/13,Capital One,Closed with monetary relief,Yes,No
Credit card,Other fee,IN,46214,Referral,10/2/13,Capital One,Closed with monetary relief,Yes,No
Credit card,Unsolicited issuance of credit card,IN,46229,Referral,8/23/13,Capital One,Closed with explanation,Yes,No
Credit card,Other,IN,46410,Web,8/12/13,Capital One,Closed with explanation,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,47978,Referral,6/28/13,Capital One,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,46060,Web,6/3/13,Capital One,Closed with explanation,Yes,No
Credit card,Late fee,IN,47358,Web,5/19/13,Capital One,Closed with explanation,Yes,No
Credit card,Delinquent account,IN,47805,Referral,5/1/13,Capital One,Closed with explanation,Yes,No
Credit card,Rewards,IN,46032,Web,4/16/13,Capital One,Closed with explanation,Yes,No
Credit card,Transaction issue,IN,46307,Web,4/10/13,Capital One,Closed with monetary relief,Yes,No
Credit card,Credit reporting,IN,47909,Web,3/21/13,Capital One,Closed with explanation,Yes,Yes
Credit card,Credit reporting,IN,46113,Web,2/18/13,Capital One,Closed with explanation,Yes,Yes
Credit card,Billing disputes,IN,46375,Web,2/11/13,Capital One,Closed with monetary relief,Yes,No
Credit card,Credit reporting,IN,46060,Web,1/26/13,Capital One,Closed with explanation,Yes,Yes
Credit card,Credit reporting,IN,47203,Web,1/14/13,Capital One,Closed with monetary relief,Yes,No
Credit card,APR or interest rate,IN,46356,Web,1/4/13,Capital One,Closed with non-monetary relief,Yes,No
Credit card,Other,IN,47987,Web,12/26/12,Capital One,Closed with explanation,Yes,No
Credit card,Other,IN,46402,Phone,12/11/12,Capital One,Closed with monetary relief,Yes,No
Credit card,Other fee,IN,46619,Phone,11/28/12,Capital One,Closed with non-monetary relief,Yes,No
Credit card,Advertising and marketing,IN,46143,Phone,11/16/12,Capital One,Closed with non-monetary relief,Yes,No
Credit card,Collection practices,IN,46112,Referral,11/8/12,Capital One,Closed with explanation,Yes,Yes
Credit card,Credit reporting,IN,47124,Web,11/8/12,Capital One,Closed with non-monetary relief,Yes,No
Credit card,Customer service / Customer relations,IN,46516,Web,11/6/12,Capital One,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,47342,Web,10/29/12,Capital One,Closed with explanation,Yes,No
Credit card,Collection practices,IN,46952,Web,10/15/12,Capital One,Closed with monetary relief,Yes,No
Credit card,Billing disputes,IN,46205,Web,10/9/12,Capital One,Closed with explanation,Yes,No
Credit card,Credit determination,IN,46516,Referral,9/19/12,Capital One,Closed with explanation,Yes,No
Credit card,Collection practices,IN,46168,Phone,8/28/12,Capital One,Closed with explanation,Yes,No
Credit card,Balance transfer,IN,46307,Web,8/20/12,Capital One,Closed with explanation,Yes,No
Credit card,Rewards,IN,46835,Web,8/18/12,Capital One,Closed with explanation,Yes,Yes
Credit card,Collection practices,IN,46511,Phone,7/24/12,Capital One,Closed with explanation,Yes,No
Credit card,Balance transfer,IN,46012,Web,7/22/12,Capital One,Closed with explanation,Yes,No
Credit card,Late fee,IN,47834,Web,7/19/12,Capital One,Closed with monetary relief,Yes,No
Credit card,Credit card protection / Debt protection,IN,47025,Web,7/18/12,Capital One,Closed with monetary relief,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46409,Referral,7/18/12,Capital One,Closed with explanation,Yes,No
Credit card,Credit reporting,IN,46113,Web,7/9/12,Capital One,Closed with non-monetary relief,Yes,No
Credit card,Closing/Cancelling account,IN,46419,Web,6/19/12,Capital One,Closed with explanation,Yes,No
Credit card,Transaction issue,IN,46142,Web,6/19/12,Capital One,Closed with explanation,Yes,Yes
Credit card,Collection debt dispute,IN,46385,Web,6/19/12,Capital One,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,47909,Referral,6/13/12,Capital One,Closed with explanation,Yes,Yes
Credit card,Collection debt dispute,IN,46516,Referral,6/5/12,Capital One,Closed with explanation,Yes,No
Credit card,Credit card protection / Debt protection,IN,46637,Web,5/21/12,Capital One,Closed with monetary relief,Yes,Yes
Credit card,Identity theft / Fraud / Embezzlement,IN,47460,Web,4/29/12,Capital One,Closed with relief,Yes,No
Credit card,APR or interest rate,IN,47933,Referral,4/24/12,Capital One,Closed without relief,Yes,No
Credit card,Collection debt dispute,IN,47303,Web,4/23/12,Capital One,Closed without relief,Yes,Yes
Credit card,Credit card protection / Debt protection,IN,46805,Web,3/15/12,Capital One,Closed with relief,Yes,Yes
Credit card,Credit card protection / Debt protection,IN,47909,Web,3/13/12,Capital One,Closed without relief,Yes,No
Credit card,Credit line increase/decrease,IN,46032,Referral,3/11/12,Capital One,Closed without relief,Yes,No
Credit card,Payoff process,IN,46619,Web,3/8/12,Capital One,Closed with relief,Yes,No
Credit card,Credit line increase/decrease,IN,46032,Referral,3/5/12,Capital One,Closed without relief,Yes,No
Credit card,Credit card protection / Debt protection,IN,47025,Web,3/5/12,Capital One,Closed with relief,Yes,No
Credit card,Customer service / Customer relations,IN,46032,Referral,3/5/12,Capital One,Closed without relief,Yes,No
Credit card,APR or interest rate,IN,46032,Web,2/23/12,Capital One,Closed without relief,Yes,No
Credit card,Advertising and marketing,IN,47346,Web,2/23/12,Capital One,Closed without relief,Yes,No
Credit card,Billing statement,IN,46032,Referral,2/3/12,Capital One,Closed without relief,Yes,No
Credit card,Payoff process,IN,46815,Phone,1/13/12,Capital One,Closed without relief,Yes,No
Credit card,APR or interest rate,IN,46815,Web,12/7/11,Capital One,Closed without relief,Yes,Yes
Credit card,Credit card protection / Debt protection,IN,47613,Referral,12/5/11,Capital One,Closed without relief,Yes,No
Credit card,APR or interest rate,IN,46033,Web,9/20/14,Citibank,Closed with explanation,Yes,Yes
Credit card,Transaction issue,IN,46038,Web,9/19/14,Citibank,Closed with explanation,Yes,
Credit card,Advertising and marketing,IN,46033,Web,7/29/14,Citibank,Closed with monetary relief,Yes,No
Credit card,Other,IN,47630,Referral,6/26/14,Citibank,Closed with explanation,Yes,No
Credit card,Other,IN,47630,Web,6/26/14,Citibank,Closed with monetary relief,Yes,No
Credit card,Billing disputes,IN,46227,Fax,6/13/14,Citibank,Closed with monetary relief,Yes,No
Credit card,Application processing delay,IN,46534,Phone,6/12/14,Citibank,Closed with non-monetary relief,Yes,No
Credit card,APR or interest rate,IN,47126,Fax,4/24/14,Citibank,Closed with explanation,Yes,No
Credit card,Transaction issue,IN,46037,Web,3/28/14,Citibank,Closed with monetary relief,Yes,No
Credit card,APR or interest rate,IN,46032,Web,3/23/14,Citibank,Closed with explanation,Yes,No
Credit card,Billing statement,IN,46835,Web,3/16/14,Citibank,Closed with monetary relief,Yes,No
Credit card,Rewards,IN,46217,Fax,3/7/14,Citibank,Closed with monetary relief,Yes,No
Credit card,Credit line increase/decrease,IN,46373,Web,2/24/14,Citibank,Closed with explanation,Yes,No
Credit card,Other,IN,46033,Web,2/4/14,Citibank,Closed with monetary relief,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46214,Postal mail,1/23/14,Citibank,Closed with non-monetary relief,Yes,No
Credit card,Forbearance / Workout plans,IN,46038,Web,1/13/14,Citibank,Closed with explanation,Yes,No
Credit card,Credit card protection / Debt protection,IN,46074,Postal mail,1/2/14,Citibank,Closed with explanation,Yes,No
Credit card,Billing statement,IN,46204,Web,10/22/13,Citibank,Closed with explanation,Yes,No
Credit card,Credit card protection / Debt protection,IN,47274,Web,10/18/13,Citibank,Closed with explanation,Yes,Yes
Credit card,Advertising and marketing,IN,47630,Web,10/15/13,Citibank,Closed with non-monetary relief,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46135,Web,9/22/13,Citibank,Closed with monetary relief,Yes,No
Credit card,Credit card protection / Debt protection,IN,47250,Web,9/18/13,Citibank,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,46052,Web,9/6/13,Citibank,Closed with monetary relief,Yes,No
Credit card,Other,IN,46224,Web,8/14/13,Citibank,Closed with explanation,Yes,No
Credit card,Advertising and marketing,IN,46360,Postal mail,8/2/13,Citibank,Closed with explanation,Yes,No
Credit card,Unsolicited issuance of credit card,IN,46032,Web,6/30/13,Citibank,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46368,Web,6/15/13,Citibank,Closed with non-monetary relief,Yes,No
Credit card,Customer service / Customer relations,IN,46055,Web,6/4/13,Citibank,Closed with explanation,Yes,No
Credit card,Late fee,IN,47906,Web,5/28/13,Citibank,Closed with monetary relief,Yes,No
Credit card,Billing disputes,IN,47427,Postal mail,5/9/13,Citibank,Closed with monetary relief,Yes,No
Credit card,Other,IN,46517,Phone,5/6/13,Citibank,Closed with explanation,Yes,No
Credit card,Late fee,IN,46952,Web,4/15/13,Citibank,Closed with monetary relief,Yes,No
Credit card,Credit card protection / Debt protection,IN,46410,Web,4/5/13,Citibank,Closed with monetary relief,Yes,No
Credit card,Closing/Cancelling account,IN,46256,Web,3/26/13,Citibank,Closed with explanation,Yes,Yes
Credit card,Customer service / Customer relations,IN,46237,Web,3/19/13,Citibank,Closed with non-monetary relief,Yes,No
Credit card,Collection practices,IN,46845,Referral,3/5/13,Citibank,Closed with monetary relief,Yes,No
Credit card,Closing/Cancelling account,IN,46902,Web,2/7/13,Citibank,Closed,Yes,No
Credit card,Billing disputes,IN,47586,Referral,1/4/13,Citibank,Closed with explanation,Yes,No
Credit card,Collection practices,IN,46205,Web,12/17/12,Citibank,Closed with explanation,Yes,No
Credit card,APR or interest rate,IN,47426,Web,12/12/12,Citibank,Closed with explanation,Yes,No
Credit card,Collection practices,IN,46205,Web,12/12/12,Citibank,Closed with explanation,Yes,Yes
Credit card,Credit determination,IN,46304,Referral,12/12/12,Citibank,Closed with explanation,Yes,No
Credit card,Cash advance,IN,47710,Web,11/25/12,Citibank,Closed with explanation,Yes,No
Credit card,Credit card protection / Debt protection,IN,46307,Web,11/14/12,Citibank,Closed with explanation,Yes,No
Credit card,Credit reporting,IN,47250,Web,11/10/12,Citibank,Closed with explanation,Yes,No
